number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_eta,params_gamma,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
69,-0.33401137590408325,2026-01-26 01:44:27.262728,2026-01-26 01:44:27.476696,0 days 00:00:00.213968,1.8766613235375251,0.9916593838452422,0.07088369784063137,0.2600456341688946,0.5207076574086326,3,7,456,0.7111807524135643,COMPLETE
70,-0.3129075765609741,2026-01-26 01:44:27.477094,2026-01-26 01:44:27.654788,0 days 00:00:00.177694,8.954104466211207,0.7705091484254799,0.08652646693935626,2.0128698956826754,0.7082656659558291,3,5,215,0.6370888135566588,COMPLETE
71,-0.3299415707588196,2026-01-26 01:44:27.655170,2026-01-26 01:44:27.975353,0 days 00:00:00.320183,8.469063248471084,0.9803139518735738,0.05380868149599542,2.525561134349271,0.28301996361203596,3,8,259,0.6786749904181196,COMPLETE
72,-0.33553099632263184,2026-01-26 01:44:27.975729,2026-01-26 01:44:28.559680,0 days 00:00:00.583951,8.125377613250853,0.9576235631097347,0.043456379573614964,2.8608864287748417,0.1911609382552178,4,9,433,0.6875305156968133,COMPLETE
73,-0.323397159576416,2026-01-26 01:44:28.560085,2026-01-26 01:44:28.882638,0 days 00:00:00.322553,9.991732662338288,0.9472964428516126,0.0644967967365935,2.2009064743857936,0.14354454955531087,6,8,298,0.7004541010132971,COMPLETE
74,-0.33310753107070923,2026-01-26 01:44:28.883022,2026-01-26 01:44:29.395748,0 days 00:00:00.512726,6.9119549049992415,0.940030181305054,0.03527212813090302,2.6325060719948348,0.30256060746086877,3,8,373,0.6644153176186971,COMPLETE
75,-0.31475013494491577,2026-01-26 01:44:29.396137,2026-01-26 01:44:29.775718,0 days 00:00:00.379581,7.712868307311862,0.9723419963109302,0.049883526845553264,3.342864426066708,0.10686877858327655,5,8,275,0.7231200079904464,COMPLETE
76,-0.344308078289032,2026-01-26 01:44:29.776110,2026-01-26 01:44:30.089026,0 days 00:00:00.312916,9.403339646011057,0.9980447202156462,0.10339690784525978,2.3947475752192746,0.16426969703880284,4,7,247,0.7018329407971489,COMPLETE
77,-0.3015229105949402,2026-01-26 01:44:30.089397,2026-01-26 01:44:30.280273,0 days 00:00:00.190876,9.402743907320872,0.998558028130871,0.10377983518365307,4.032567172376861,0.15853975155275304,4,6,243,0.6989581781936706,COMPLETE
78,-0.2935599088668823,2026-01-26 01:44:30.280656,2026-01-26 01:44:30.362475,0 days 00:00:00.081819,9.038506651733524,0.8120376932290672,0.23470949880493713,1.6879089619434038,0.2318144458998625,3,7,270,0.6141419394251758,COMPLETE
79,-0.31835317611694336,2026-01-26 01:44:30.362805,2026-01-26 01:44:30.639370,0 days 00:00:00.276565,9.672040889699092,0.9314142962541946,0.07399653925368649,2.3055047829293254,0.39696177454448234,3,6,189,0.9875675633491656,COMPLETE
80,-0.33699846267700195,2026-01-26 01:44:30.639782,2026-01-26 01:44:31.000217,0 days 00:00:00.360435,4.280207782766553,0.9148239970076565,0.08152277970460321,1.4416027357208994,0.33077381283803725,4,7,207,0.7329847826215292,COMPLETE
81,-0.28526145219802856,2026-01-26 01:44:31.000645,2026-01-26 01:44:31.153455,0 days 00:00:00.152810,9.38350924008423,0.984713615502022,0.13639520875641822,2.516613129142006,0.13558292204278738,5,9,247,0.6739216095712643,COMPLETE
82,-0.31343913078308105,2026-01-26 01:44:31.153842,2026-01-26 01:44:31.489874,0 days 00:00:00.336032,8.539538769608683,0.9729448657629304,0.029385552374669895,2.9884957540702524,0.1711405235239619,3,8,320,0.6814035042589691,COMPLETE
83,-0.3101910352706909,2026-01-26 01:44:31.490265,2026-01-26 01:44:31.870205,0 days 00:00:00.379940,8.84819728309795,0.9618246224998165,0.044652444696921284,2.1317847373730827,0.2138526102011409,4,7,397,0.7138231812226653,COMPLETE
84,-0.3253680467605591,2026-01-26 01:44:31.870600,2026-01-26 01:44:32.219504,0 days 00:00:00.348904,8.337438481159456,0.8342775905268541,0.05318510356362352,1.932586601257269,0.11486362200618405,3,8,224,0.6490027323330497,COMPLETE
85,-0.32085418701171875,2026-01-26 01:44:32.219901,2026-01-26 01:44:32.520704,0 days 00:00:00.300803,9.138022666770087,0.796166274033256,0.06466736127638258,2.383230025786953,0.1008188250529365,6,10,350,0.6917456291401073,COMPLETE
86,-0.32341647148132324,2026-01-26 01:44:32.521088,2026-01-26 01:44:32.776733,0 days 00:00:00.255645,0.17497983842853593,0.8511400632075894,0.041220454244906106,2.8200457474676366,0.13220188385164394,4,9,484,0.7079041240076123,COMPLETE
87,-0.30678898096084595,2026-01-26 01:44:32.777144,2026-01-26 01:44:33.226813,0 days 00:00:00.449669,9.800245590988023,0.9818543409932036,0.10759294978647813,2.4837161934182492,0.26484685297240873,5,6,388,0.6592082744093739,COMPLETE
88,-0.3134979009628296,2026-01-26 01:44:33.227204,2026-01-26 01:44:33.476611,0 days 00:00:00.249407,7.207027561407184,0.68842605338087,0.03524120226887515,2.626292732618344,0.15312354539619202,3,7,421,0.6330805649609073,COMPLETE
89,-0.3054691553115845,2026-01-26 01:44:33.476997,2026-01-26 01:44:33.795640,0 days 00:00:00.318643,9.48828260554681,0.9398230300275912,0.057492295697551266,2.220565060592266,1.2929980461185901,4,5,292,0.7496510118394745,COMPLETE
90,-0.3303089737892151,2026-01-26 01:44:33.796033,2026-01-26 01:44:34.347197,0 days 00:00:00.551164,8.242886529037767,0.8261021497097426,0.06087513977517831,3.1418354243143543,0.20620216283466622,5,4,310,0.6853911330300683,COMPLETE
91,-0.3407566547393799,2026-01-26 01:44:34.347647,2026-01-26 01:44:34.789268,0 days 00:00:00.441621,4.168343422742753,0.8988456733300311,0.08014465789911787,2.044968432009413,0.3315181562671543,4,7,205,0.7327417351372147,COMPLETE
92,-0.33185309171676636,2026-01-26 01:44:34.789655,2026-01-26 01:44:34.959882,0 days 00:00:00.170227,4.086671493830027,0.8946304684304441,0.08761809465501746,1.783666606896546,0.23715751022475767,3,6,153,0.7209001438843734,COMPLETE
93,-0.3264482021331787,2026-01-26 01:44:34.960286,2026-01-26 01:44:35.160007,0 days 00:00:00.199721,3.434506849379302,0.8751111949995976,0.12531813856216806,2.109000999403069,0.4321058892506959,4,7,178,0.7386012088490417,COMPLETE
94,-0.30749988555908203,2026-01-26 01:44:35.160375,2026-01-26 01:44:35.330835,0 days 00:00:00.170460,5.01551366280046,0.917797860864946,0.06846645778335789,1.980912322392239,0.3116051193785353,3,8,253,0.7018547429618909,COMPLETE
95,-0.32925814390182495,2026-01-26 01:44:35.331227,2026-01-26 01:44:35.929289,0 days 00:00:00.598062,8.747722926128041,0.9996427840987869,0.04806888138670174,2.702692244860937,0.1942895715260165,5,7,225,0.7591725367642501,COMPLETE
96,-0.3139028549194336,2026-01-26 01:44:35.929676,2026-01-26 01:44:36.727315,0 days 00:00:00.797639,9.173043356288265,0.8436861224792064,0.07534960203346278,2.4450037935671345,0.36639362432576644,9,6,202,0.7762096479714661,COMPLETE
97,-0.3092268705368042,2026-01-26 01:44:36.727716,2026-01-26 01:44:36.868359,0 days 00:00:00.140643,4.340029919954044,0.8978000742566065,0.08878530767467202,2.311954522169174,0.16976070607680105,3,7,265,0.7302595881959928,COMPLETE
98,-0.30060458183288574,2026-01-26 01:44:36.868751,2026-01-26 01:44:37.318928,0 days 00:00:00.450177,6.447531609286896,0.882996517084141,0.03697829471376899,3.508012613606311,0.11289140258181253,4,5,278,0.7912622589777293,COMPLETE
99,-0.3175906538963318,2026-01-26 01:44:37.319333,2026-01-26 01:44:37.677259,0 days 00:00:00.357926,5.912351773697036,0.9616443584573857,0.04626931767360541,3.28869288643675,1.0413090904717903,4,9,332,0.6709431858558993,COMPLETE
